CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Name,Cluster_Action
12395,19,12,3018.63,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12397,36,2,2409.9,3,2,5,10,325,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12398,46,1,1635.66,3,1,4,8,314,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12399,119,4,1108.65,2,4,4,10,244,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12401,303,1,84.3,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12402,323,1,225.6,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12403,50,1,427.7,3,1,2,6,312,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12405,149,1,1710.39,2,1,4,7,214,Lost,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12406,22,2,3415.3,4,2,5,11,425,New Customers,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12407,50,5,1708.12,3,4,4,11,344,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12408,33,5,2888.55,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12409,79,3,11072.67,2,3,5,10,235,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12410,309,2,693.33,1,2,3,6,123,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12412,75,3,1226.88,2,3,4,9,234,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12413,67,3,758.1,3,3,3,9,333,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12414,217,3,562.4100000000001,1,3,3,7,133,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12415,24,21,124914.53,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12417,3,9,3649.1,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12418,113,1,668.58,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12420,64,1,600.39,3,1,3,7,313,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12421,16,4,807.04,4,4,3,11,443,Loyal Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12422,96,3,803.5600000000001,2,3,3,8,233,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12423,1,8,1859.31,5,5,4,14,554,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12424,163,2,1760.96,2,2,4,8,224,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12425,78,1,777.2,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12426,195,1,582.73,1,1,3,5,113,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12427,22,3,825.8000000000001,4,3,3,10,433,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12428,26,9,7956.46,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12429,9,4,3750.4,5,4,5,14,545,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12430,43,1,256.4,3,1,2,6,312,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12431,36,15,6487.45,3,5,5,13,355,Promising,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12432,43,5,5059.32,3,4,5,12,345,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12433,1,7,13375.87,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12434,85,2,806.14,2,2,3,7,223,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12435,80,2,7829.89,2,2,5,9,225,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12436,100,1,509.01,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12437,2,18,4951.41,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12438,14,2,2906.85,4,2,5,11,425,New Customers,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12441,367,1,173.55,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12442,3,1,172.06,5,1,1,7,511,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12444,21,5,5005.46,4,4,5,13,445,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12445,22,1,133.4,4,1,1,6,411,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12446,58,1,1002.31,3,1,4,8,314,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12447,243,1,476.49,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12448,44,1,449.45,3,1,2,6,312,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12449,22,4,4067.29,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12450,156,2,197.88,2,2,1,5,221,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12451,11,5,9035.52,5,4,5,14,545,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12452,17,2,430.5700000000001,4,2,2,8,422,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12453,134,1,707.09,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12454,56,1,3528.34,3,1,5,9,315,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12455,73,6,2466.86,2,4,5,11,245,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12456,44,3,3181.04,3,3,5,11,335,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12457,66,7,2363.23,3,5,5,13,355,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12458,71,2,947.4,3,2,4,9,324,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12461,94,2,826.88,2,2,3,7,223,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12462,19,2,1189.59,4,2,4,10,424,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12463,53,4,1344.78,3,4,4,11,344,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12464,10,8,1212.05,5,5,4,14,554,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12465,17,2,742.19,4,2,3,9,423,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12468,188,2,729.54,1,2,3,6,123,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12471,2,30,19824.05,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12472,32,7,6572.11,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12473,29,5,3938.55,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12474,17,18,7375.79,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12475,54,1,723.38,3,1,3,7,313,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12476,16,11,6816.42,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12477,23,6,13219.74,4,4,5,13,445,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12478,4,1,680.99,5,1,3,9,513,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12479,11,1,527.2,5,1,3,9,513,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12480,28,4,3281.63,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12481,23,10,5596.32,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12483,17,8,2484.98,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12484,33,6,4541.72,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12488,10,3,1298.66,5,3,4,12,534,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12489,336,1,334.93,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12490,5,10,5417.93,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12491,39,1,460.4,3,1,2,6,312,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12492,63,2,263.21000000000004,3,2,2,7,322,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12493,166,2,433.74,2,2,2,6,222,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12494,16,7,1246.1,4,5,4,13,454,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12497,82,1,1043.1,2,1,4,7,214,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12498,21,3,403.7000000000001,4,3,2,9,432,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12500,23,11,4257.82,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12501,337,1,2169.39,1,1,5,7,115,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12502,96,5,3723.87,2,4,5,11,245,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12504,18,2,482.05,4,2,2,8,422,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12506,233,1,73.5,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12507,134,3,1304.81,2,3,4,9,234,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12508,26,2,398.27,4,2,2,8,422,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12509,284,1,176.5,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12510,143,2,982.57,2,2,4,8,224,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12512,66,2,138.03,3,2,1,6,321,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12513,113,1,612.29,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12514,267,1,1017.68,1,1,4,6,114,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12515,353,1,383.7,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12516,78,2,1312.06,2,2,4,8,224,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12517,28,5,2502.84,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12518,1,5,2056.89,5,4,4,13,544,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12519,64,1,340.84000000000003,3,1,2,6,312,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12520,79,5,2634.26,2,4,5,11,245,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12521,143,1,599.68,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12522,39,2,192.72,3,2,1,6,321,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12523,19,11,1789.77,4,5,4,13,454,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12524,9,8,4485.72,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12526,1,3,1316.66,5,3,4,12,534,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12527,82,3,348.71000000000004,2,3,2,7,232,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12528,9,6,1933.48,5,5,4,14,554,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12530,60,4,1662.28,3,4,4,11,344,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12531,15,1,125.22,4,1,1,6,411,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12532,30,1,349.83000000000004,4,1,2,7,412,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12534,131,1,1089.18,2,1,4,7,214,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12535,92,2,716.35,2,2,3,7,223,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12536,43,3,12601.830000000002,3,3,5,11,335,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12538,29,1,363.95,4,1,2,7,412,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12539,22,4,5568.35,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12540,20,17,13400.24,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12541,30,3,981.18,4,3,4,11,434,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12544,36,1,372.7,3,1,2,6,312,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12545,75,2,1000.39,2,2,4,8,224,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12546,47,2,1161.5,3,2,4,9,324,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12547,198,2,207.8,1,2,1,4,121,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12548,166,1,95.2,2,1,1,4,211,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12550,79,1,964.83,2,1,4,7,214,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12551,358,1,168.0,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12552,39,2,437.82,3,2,2,7,322,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12553,8,10,3692.28,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12556,50,2,603.71,3,2,3,8,323,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12557,16,5,11990.96,4,4,5,13,445,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12558,8,1,269.96,5,1,2,8,512,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12559,311,2,561.71,1,2,3,6,123,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12560,5,3,2134.01,5,3,5,13,535,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12561,303,1,238.85,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12562,8,7,3781.74,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12564,261,1,456.9,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12565,289,1,145.92000000000002,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12566,86,1,351.65,2,1,2,5,212,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12567,23,10,9401.28,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12569,2,32,4124.6900000000005,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12571,40,2,519.61,3,2,3,8,323,Need Attention,0,New Potentials,"Welcome series, onboarding discounts, education content"
12572,9,2,1020.42,5,2,4,11,524,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12573,227,1,160.54000000000002,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12574,316,1,218.45,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12576,36,5,1315.83,3,4,4,11,344,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12577,35,3,657.8,3,3,3,9,333,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12578,21,2,2794.51,4,2,5,11,425,New Customers,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12579,78,1,440.42,2,1,2,5,212,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12580,247,1,415.7,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12581,40,1,197.71,3,1,1,5,311,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12582,239,2,511.36,1,2,3,6,123,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12583,3,15,7281.38,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12584,4,9,2338.15,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12585,234,2,2040.1,1,2,4,7,124,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12586,17,1,196.94000000000003,4,1,1,6,411,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12587,8,1,144.0,5,1,1,7,511,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12588,39,1,214.9,3,1,1,5,311,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12589,29,2,646.68,4,2,3,9,423,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12590,211,2,9864.26,1,2,5,8,125,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12591,317,1,452.85,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12592,92,2,437.6,2,2,2,6,222,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12593,109,3,418.1,2,3,2,7,232,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12594,38,10,3338.2200000000003,3,5,5,13,355,Promising,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12596,51,2,618.27,3,2,3,8,323,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12597,19,4,3811.22,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12598,10,8,3023.08,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12599,29,7,1032.58,4,5,4,13,454,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12600,29,10,2599.04,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12601,190,5,577.0600000000001,1,4,3,8,143,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12602,59,1,153.12,3,1,1,5,311,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12603,22,1,739.1999999999999,4,1,3,8,413,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12604,79,2,254.18,2,2,2,6,222,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12607,60,1,1579.51,3,1,4,8,314,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12609,78,3,1126.85,2,3,4,9,234,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12610,23,5,2099.54,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12611,52,1,1193.32,3,1,4,8,314,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12612,74,1,704.04,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12613,57,5,3344.38,3,4,5,12,345,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12614,278,1,315.6,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12615,2,4,2291.19,5,4,5,14,545,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12616,95,2,713.3,2,2,3,7,223,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12617,29,1,355.53000000000003,4,1,2,7,412,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12618,22,1,177.31,4,1,1,6,411,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12619,16,9,3641.24,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12620,15,3,1339.41,4,3,4,11,434,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12621,2,20,13689.67,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12622,232,1,180.1,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12623,276,1,305.1,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12624,106,2,641.13,2,2,3,7,223,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12625,212,2,2683.82,1,2,5,8,125,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12626,23,9,6620.4800000000005,4,5,5,14,455,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12627,11,7,4478.53,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12628,4,3,786.46,5,3,3,11,533,Promising,0,New Potentials,"Welcome series, onboarding discounts, education content"
12630,10,2,1270.88,5,2,4,11,524,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12631,57,1,640.5,3,1,3,7,313,Need Attention,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12633,59,4,2163.98,3,4,5,12,345,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12635,90,2,1689.18,2,2,4,8,224,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12637,67,8,6021.9,3,5,5,13,355,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12638,33,1,671.69,4,1,3,8,413,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12639,239,1,486.1,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12640,24,3,1174.58,4,3,4,11,434,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12641,115,1,185.9,2,1,1,4,211,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12642,25,3,1013.26,4,3,4,11,434,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12643,128,6,3344.64,2,5,5,12,255,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
